timestamp,ticker,action,qty,price,buying_power,equity
2025-06-18 19:57:17,F,SELL,495,10.435,388867.46,100148.12
2025-06-18 19:57:18,MARA,SELL,6,14.51,394024.69,100145.64
2025-06-18 19:57:18,SIRI,SELL,108,21.52,394053.76,100145.64
2025-06-18 19:57:18,UWMC,SELL,700,4.0,396418.19,100145.64
